NCM;CAPITULO;Descrição;Início da Vigência;Fim da Vigência;uTrib
1063310;1;AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODUÇÃO;01/01/2016;;UN
1063390;1;OUTROS AVESTRUZES VIVOS;01/01/2016;;UN
1063900;1;OUTRAS AVES VIVAS;01/01/2016;;UN
1064100;1;ABELHAS VIVAS;01/01/2016;;UN
1064900;1;OUTROS INSETOS VIVOS;01/01/2016;;UN
1069000;1;OUTROS ANIMAIS VIVOS;01/01/2016;;UN
2011000;2;CARCAÇAS E MEIAS-CARCS. DE BOV., FRESC.REFR.;01/01/2016;;KG
2012010;2;QUARTOS DIANT. BOV. Ñ DESOSS. FRESC.OU REFR.;01/01/2016;;KG
2012020;2;QUARTOS TRAZ.BOV.Ñ DESOSS.FRESC.OU REFRIG.;01/01/2016;;KG
2012090;2;OUTS CARNES BOV.Ñ DESOSS.FRESC OU REFRIG.;01/01/2016;;KG
2013000;2;OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.;01/01/2016;;KG
2021000;2;CARCAÇAS E MEIAS-CARCAÇAS DE BOVINOS,CONG.;01/01/2016;;KG
2022010;2;QUART.DIANTEIRO DE BOVINO NÃO DESOSS., CONG.;01/01/2016;;KG
2022020;2;QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.;01/01/2016;;KG
2022090;2;OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS;01/01/2016;;KG
2023000;2;CARNES DE BOVINO DESOSSADAS, CONGELADAS;01/01/2016;;KG
2031100;2;CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.;01/01/2016;;KG
2031200;2;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.;01/01/2016;;KG
2031900;2;OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.;01/01/2016;;KG
2032100;2;CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS;01/01/2016;;KG
2032200;2;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS;01/01/2016;;KG
2032900;2;OUTRAS CARNES DE SUÍNO,CONGELADAS;01/01/2016;;KG
2041000;2;CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.;01/01/2016;;KG
2042100;2;CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.;01/01/2016;;KG
2042200;2;OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.;01/01/2016;;KG
2042300;2;PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.;01/01/2016;;KG
2043000;2;CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.;01/01/2016;;KG
2044100;2;CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.;01/01/2016;;KG
2044200;2;OUTS.PÇS NÃO DESOSS.DE OVINOS,CONGELADAS;01/01/2016;;KG
2044300;2;PEÇAS DESOSSADAS DE OVINOS,CONGELADAS;01/01/2016;;KG
2045000;2;CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.;01/01/2016;;KG
2050000;2;CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.;01/01/2016;;KG
2061000;2;MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS;01/01/2016;;KG
2062100;2;LÍNGUAS DE BOVINOS CONGELADAS;01/01/2016;;KG
2062200;2;FÍGADOS DE BOVINOS CONGELADOS;01/01/2016;;KG
2062910;2;RABOS DE BOVINOS CONGELADOS;01/01/2016;;KG
2062990;2;OUTRAS MIUDEZAS COMESTÍVEIS., D/BOVINO,CONG.;01/01/2016;;KG
2063000;2;MIUDEZAS DA ESPÉCIE SUÍNA FRESCAS OU REFR.;01/01/2016;;KG
2064100;2;FÍGADOS DE SUÍNOS, CONGELADOS;01/01/2016;;KG
2064900;2;OUTRAS MIUDEZAS DE SUÍNOS, CONGELADAS;01/01/2016;;KG
2068000;2;OUTRAS MIUDEZAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
2069000;2;OUTRAS MIUDEZAS CONGELADAS;01/01/2016;;KG
2071100;2;CARNES GALOS/GALINHAS,Ñ CORT.,FRESCAS/REFR.;01/01/2016;;KG
2071200;2;CARNES GALOS/GALINHAS,Ñ CORT.,CONGELADO;01/01/2016;;KG
2071300;2;PEDAÇOS/MIUDEZ.,D/GALOS/GALINHAS,FRESC,REF.;01/01/2016;;KG
2071400;2;PEDAÇOS E MIUDEZ.DE GALOS E GALINHAS,CONG.;01/01/2016;;KG
2072400;2;CARNES DE PERUAS/PERUS, Ñ CORT.,FRES/REFR.;01/01/2016;;KG
2072500;2;CARNES DE PERUS/AS Ñ CORT.PEDAÇOS, CONG.;01/01/2016;;KG
2072600;2;CARNES DE PERUAS/US,MIUDEZ.,FRESCOS/REFRIG.;01/01/2016;;KG
2072700;2;CARNES PEDAÇOS E MIUDEZ.DE PERUS/AS,CONG.;01/01/2016;;KG
2074100;2;CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE PATOS;01/01/2016;;KG
2074200;2;CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE PATOS;01/01/2016;;KG
2074300;2;FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE PATOS;01/01/2016;;KG
2074400;2;OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE PATOS;01/01/2016;;KG
2074500;2;OUTRAS CARNES E MIUDEZAS CONGELADAS DE PATOS;01/01/2016;;KG
2075100;2;CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE GANSO;01/01/2016;;KG
2075200;2;CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE GANSOS;01/01/2016;;KG
2075300;2;FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE GANSOS;01/01/2016;;KG
2075400;2;OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE GANSOS;01/01/2016;;KG
2075500;2;OUTRAS CARNES E MIUDEZAS CONGELADAS DE GANSOS;01/01/2016;;KG
2076000;2;CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/GALINAS-D'ANGOLA;01/01/2016;;KG
2081000;2;CARNES,MIUDEZ.D/COELHO,LEBRE,FR/REFR.CONG.;01/01/2016;;KG
2083000;2;CARNES,MIUD.COM.D/PRIMATAS FRES.REFR.CONG.;01/01/2016;;KG
2084000;2;CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/BALEIAS,GOLF.BOT.,;01/01/2016;;KG
2085000;2;CARN.MIUD.D/RÉPTS,SERP.TART.MAR.FR.REF.CONG.;01/01/2016;;KG
2086000;2;CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/CAMELOS E OUTROS;01/01/2016;;KG
2089000;2;OUTRAS CARNES E MIUD.COMEST.FRESCO REFRIG./CONGELADOS;01/01/2016;;KG
2091011;2;TOUCINHO DE PORCO FRESCO, REFRIGERADO/CONGELADO;01/01/2016;;KG
2091019;2;TOUCINHO DE PORCO SALGADO,EM SALMOURA,SECO OU DEFUMADO;01/01/2016;;KG
2091021;2;GORDURA DE PORCO FRESCA REFRIGERADA OU CONGELADA;01/01/2016;;KG
2091029;2;GORDURA DE PORCO SALGADA OU EM SALMOURA, SECA/DEFUMADA;01/01/2016;;KG
2099000;2;OUTS.GORD.DE AVES FRESC.REFR.CONG.SALG.SALM.SECOS/DEFUM;01/01/2016;;KG
2101100;2;PERNAS,PÁS,ETC.Ñ DESOSS.SUÍNOS,SALG.SECAS;01/01/2016;;KG
2101200;2;BARRIGAS E PEITOS Ñ DESOSS.SUÍNOS,SALG.SECA;01/01/2016;;KG
2101900;2;OUTS.CARNES SUÍNAS,SALG.SECAS OU DEFUMS.;01/01/2016;;KG
2102000;2;CARNES BOVINAS,SALGADAS,SECAS OU DEFUMS.;01/01/2016;;KG
2109100;2;CARN.MIUD,D/PRIM.SAL.SEC.DEF.FAR.D/CARN/MIUD.;01/01/2016;;KG
2109200;2;CARNES E MIUD.,FARINH.E PÓS COMEST.D/BALEIAS,GOLF.BOTOS;01/01/2016;;KG
2109300;2;CARN.MIUD.D/RÉPTEIS,SERP.TAR,DEF.F/CAR.MIUD.;01/01/2016;;KG
2109900;2;OUTS.CARNES E MIUD.COMEST.FARINH.E PÓS,SALG.OU EM SALM.;01/01/2016;;KG
3011110;3;ARUANÃ (OSTEOGLOSSUM BICIRRHOSUM);01/01/2016;;KG
3011190;3;OUTROS PEIXES VIVOS ORNAMENTAIS DE ÁGUA DOCE;01/01/2016;;KG
3011900;3;PEIXES VIVOS ORNAMENTAIS DE ÁGUA SALGADA;01/01/2016;;KG
3019110;3;TRUTAS PARA REPRODUÇÃO;01/01/2016;;KG
3019190;3;OUTRAS TRUTAS (SALMO TRUTTA ETC.)VIVAS;01/01/2016;;KG
3019210;3;ENGUIAS PARA REPRODUÇÃO;01/01/2016;;KG
3019290;3;OUTRAS ENGUIAS (ANGUILLA SPP.) VIVAS;01/01/2016;;KG
3019310;3;CARPAS PARA REPRODUÇÃO;01/01/2016;;KG
3019390;3;OUTRAS CARPAS;01/01/2016;;KG
3019410;3;ATUNS AZUIS PARA REPRODUÇÃO;01/01/2016;;KG
3019490;3;OUTROS ATUNS AZUIS;01/01/2016;;KG
3019510;3;ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPRODUÇÃO;01/01/2016;;KG
3019590;3;OUTS. ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPR.;01/01/2016;;KG
3019911;3;TILÁPIAS PARA REPRODUÇÃO;01/01/2016;;KG
3019912;3;ESTURJÕES PARA REPRODUÇÃO;01/01/2016;;KG
3019919;3;OUTROS PEIXES PARA REPRODUÇÃO;01/01/2016;;KG
3019991;3;OUTRAS TILÁPIAS VIVAS;01/01/2016;;KG
3019992;3;OUTROS ESTURJÕES VIVOS;01/01/2016;;KG
3019999;3;OUTROS PEIXES VIVOS;01/01/2016;;KG
3021100;3;TRUTAS (SALMO TRUTTA,ETC.) FRESCAS OU REFR.;01/01/2016;;KG
3021300;3;SALMÕES-DO PACÍFICO FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3021400;3;SALMÃO-DO-ATLÂNTICO E SALMÃO-DO-DANÚBIO FRESC./REFRIGER;01/01/2016;;KG
3021900;3;OUTS.SALMONÍDEOS,FRESCOS OU REFR.,EXC.FILÉS;01/01/2016;;KG
3022100;3;LINGUADOS-GIGANTES, FRESC.OU REFRIGERADOS;01/01/2016;;KG
3022200;3;SOLHAS OU PATRUÇAS, FRESCAS OU REFRIG.;01/01/2016;;KG
3022300;3;LINGUADOS (SOLEA SPP.), FRESCOS OU REFRIG.;01/01/2016;;KG
3022400;3;PREGADO FRESCO OU REFRIGERADO;01/01/2016;;KG
3022900;3;OUTROS PEIXES CHATOS, FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3023100;3;ATUNS-BRANCOS OU GERMÕES FRESCOS/REFR.;01/01/2016;;KG
3023200;3;ALBACORAS(THUNNUS ALBACARES), FRES.,REFR.;01/01/2016;;KG
3023300;3;BONITO-LISTR/VENTR RAIAD, FRES.,REFR.,EXC.FILÉS;01/01/2016;;KG
3023400;3;ALBACORAS-BAND.(THUNN OBESUS)FRESC.REFR.;01/01/2016;;KG
3023500;3;ATUNS AZUIS, FRESCOS OU REFRIGERADO;01/01/2016;;KG
3023600;3;ATUNS DO SUL (THUNNUS MACCOYII) FRESCO/REFR.;01/01/2016;;KG
3023900;3;OUTROS ATUNS FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3024100;3;ARANQUES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3024210;3;ANCHOITA FRESCA OU REFRIGERADA;01/01/2016;;KG
3024290;3;OUTROS ARENQUES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3024300;3;SARDINHAS, ANCHOVETAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3024400;3;CAVALINHAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3024500;3;CHICHARROS FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3024600;3;BIJUPIRÁ FRESCO OU REFRIGERADO;01/01/2016;;KG
3024700;3;ESPADARTE FRESCO OU REFRIGERADO;01/01/2016;;KG
3024910;3;ARLINS, VELEIROS (ISTIOPHORIDAE);01/01/2017;;KG
3024990;3;;01/01/2017;;KG
3025100;3;BACALHAU-DO-ATLÂNTICO, DA-GROELÂNDIA D/PACÍF.FRESC./REF;01/01/2016;;KG
3025200;3;HADDOCK OU LUBINA FRESCO OU REFRIGERADO;01/01/2016;;KG
3025300;3;SAITHE (POLLACHIUS VIRENS) FRESCO OU REFRIGERADO;01/01/2016;;KG
3025400;3;MERLUZAS E ABRÓTEAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3025500;3;MERLUZA-DO-ALASCA FRESCA OU REFRIGERADA;01/01/2016;;KG
3025600;3;VERDINHOS FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3025900;3;OUTROS PEIXES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3027100;3;TILÁPIAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3027210;3;BAGRE FRESCO OU REFRIGERADO;01/01/2016;;KG
3027290;3;OUTROS BAGRES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3027300;3;CARPAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3027400;3;ENGUIAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3027900;3;OUTROS PEIXES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3028100;3;CAÇÃO E OUTROS TUBARÕES FRESCOS OU REFIRGERADOS;01/01/2016;;KG
3028200;3;RAIAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3028310;3;MERLUZA NEGRA (DISSOSTICHUS ELEGINOIDES);01/01/2016;;KG
3028320;3;MERLUZA ANTÁRTICA FRESCA OU REFRIGERADA;01/01/2016;;KG
3028400;3;ROBALOS FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3028500;3;PARGOS OU SARGOS (SPARIDAE) FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3028910;3;ANUS PURPUREUS);01/01/2017;;KG
3028911;3;AGULHÕES FRESCOS OU REFRIGERADOS;01/01/2016;31/03/2017;KG
3028912;3;PARGO (LUTJANUS PURPUREUS) FRESCO OU REFRIGERADO;01/01/2016;31/03/2017;KG
3028921;3;CHERNE-POVEIRO FRESCO OU REFRIGERADO;01/01/2016;;KG
3028922;3;GAROUPAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3028923;3;ESTURJÃO FRESCO OU REFRIGERADO;01/01/2016;;KG
3028924;3;PEIXES-REI FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3028931;3;CURIMATÃS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3028932;3;TILÁPIAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3028933;3;SURUBINS FRECOS OU REFRIGERADOS;01/01/2016;;KG
3028934;3;TRAÍRA FRESCA OU REFRIGERADA;01/01/2016;;KG
3028935;3;PIAUS (LEPORINUS SPP.) FRESCO OU REFRIGERADO;01/01/2016;;KG
3028936;3;TAINHAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG
3028937;3;PIRARUCU (ARAPAIMA GIGAS) FRESCO OU REFRIGERADO;01/01/2016;;KG
3028938;3;PESCADAS (CYNOCION SPP.) FRESCO OU REFRIGERADO;01/01/2016;;KG
3028941;3;PIRAMUTABA FRESCA OU REFRIGERADA;01/01/2016;;KG
3028942;3;DOURADA (BRACHYPLATYSTOMA FLAVICANS) FRESCA/REFRIGERADA;01/01/2016;;KG
3028943;3;PACU (PIARATUS MESOPOTAMICUS) FRESCO OU REFRIGERADO;01/01/2016;;KG
3028944;3;TAMBAQUI (COLOSSOMA MACROPOMUM) FRESCO/REFRIGERADO;01/01/2016;;KG
3028945;3;TAMBACU (HÍBRIDO DE TAMBAQUI E PACU) FRESCO/REFRIGERADO;01/01/2016;;KG
3028990;3;OUTROS PEIXES FRESCOS OU REFRIGERADOS;01/01/2016;;KG
3029000;3;FÍGADOS, OVAS, E SÊMEN DE PEIXES FRESCOS OU REFRIGERADO;01/01/2016;31/03/2017;KG
3029100;3;-- FÍGADOS, OVAS E GÔNADAS MASCULINAS;01/01/2017;;KG
3029200;3;#NOME?;01/01/2017;;KG
3029900;3;#NOME?;01/01/2017;;KG
3031100;3;SALMÕES VERM.(ONCORHYNCHUS NERKA)CONG.;01/01/2016;;KG
3031200;3;SALMÕES-DO-PACÍFICO CONGELADOS;01/01/2016;;KG
3031300;3;SALMÃO-DO-ATLÂNTICO E SALMÃO-DO-DANÚBIO CONGELADOS;01/01/2016;;KG
3031400;3;TRUTAS CONGELADAS;01/01/2016;;KG
3031900;3;OUTROS PEIXES CONGELADOS;01/01/2016;;KG
3032300;3;TILÁPIAS CONGELADAS;01/01/2016;;KG
3032410;3;BAGRE CONGELADO;01/01/2016;;KG
3032490;3;OUTROS BAGRES CONGELADOS;01/01/2016;;KG
3032500;3;CARPAS CONGELADAS;01/01/2016;;KG
3032600;3;ENGUIAS CONGELADAS;01/01/2016;;KG
3032900;3;OUTROS PEIXES CONGELADAS;01/01/2016;;KG
3033100;3;LINGUADOS-GIGANTES, CONG.EXC.FÍG.OVAS,SÊMEN;01/01/2016;;KG
3033200;3;SOLHAS/PATRUÇAS, CONG.EXC.FÍG.OVAS.SÊMEN;01/01/2016;;KG
3033300;3;LINGUADO(SOLEA SPP.),CONG.,EXC.FÍG,OVAS,SÊM.;01/01/2016;;KG
3033400;3;PREGADO CONGELADO;01/01/2016;;KG
3033900;3;OUTROS PEIXES CHATOS CONGELADOS;01/01/2016;;KG
3034100;3;ATUNS-BRANCOS / GERMÕES,CONG.,EXC.FÍGADOS;01/01/2016;;KG
3034200;3;ALBACORAS(THUNNUS ALBACARES),CONGELADOS;01/01/2016;;KG
3034300;3;BONITO-LISTR./VENTR RAIAD, FRES.,REFR.,EXC.FÍG.;01/01/2016;;KG
3034400;3;ALBACORAS-BANDOLIM(THUNNUS OBESUS)CONG.;01/01/2016;;KG
3034500;3;ATUNS AZUIS CONGELADOS;01/01/2016;;KG
3034600;3;ATUNS DO SUL (THUNNUS MACCOYII)CONGELADOS;01/01/2016;;KG
3034900;3;OUTROS PEIXES CONGELADOS;01/01/2016;;KG
3035100;3;ARENQUES,CONG.,EXC.FÍGADO,OVAS,SÊMEN;01/01/2016;;KG
3035300;3;SARDINHAS, ANCHOVETA CONGELADAS;01/01/2016;;KG
3035400;3;CAVALINHAS CONGELADAS;01/01/2016;;KG
3035500;3;CHICHARROS CONGELADOS;01/01/2016;;KG
3035600;3;BIJUPIRÁ CONGELADO;01/01/2016;;KG
3035700;3;ESPADARTE CONGELADO;01/01/2016;;KG
3035910;3;ESPADINS, MARLINS, VELEIROS (ISTIOPHORIDAE);01/01/2017;;KG
3035920;3;ANCHOITA (ENGRAULIS ANCHOITA);01/01/2017;;KG
3035990;3;OUTROS;01/01/2017;;KG
3036300;3;BACALHAU-DO-ATLÂNT.,DA-GROELÂNDIA DO PACÍFICO CONGELADO;01/01/2016;;KG
3036400;3;HADDOCK OU LUBINA CONGELADO;01/01/2016;;KG
3036500;3;SAITHE (POLLACHIUS VIRENS) CONGELADO;01/01/2016;;KG
3036600;3;MERLUZAS E ABRÓTEAS CONGELADAS;01/01/2016;;KG
3036700;3;MERLUZA-DO-ALASCA CONGELADA;01/01/2016;;KG
3036800;3;VERDINHOS CONGELADOS;01/01/2016;;KG
3036910;3;MERLUZA ROSADA CONGELADA;01/01/2016;;KG
3036990;3;OUTROS PEIXES CONGELADOS;01/01/2016;;KG
3038111;3;TUBARÃO-AZUL INTEIRO CONGELADO;01/01/2016;;KG
3038112;3;TUBARÃO-AZUL EVISCERADO,S/CABEÇA,S/BARBATANAS,CONGELADO;01/01/2016;;KG
3038113;3;TUBARÃO-AZUL EM PEDAÇOS, COM PELE, CONGELADO;01/01/2016;;KG
3038114;3;TUBARÃO-AZUL EM PEDAÇOS, SEM PELE, CONGELADO;01/01/2016;;KG
3038119;3;TUBARÃO-AZUL EM QQ. OUTRA FORMA, CONGELADO;01/01/2016;;KG
3038190;3;CAÇÃO E OUTROS TUBARÕES CONGELADOS;01/01/2016;;KG
3038200;3;RAIAS CONGELADAS;01/01/2016;;KG
3038311;3;MERLUZA NEGRA EVISCERADA, S/CABEÇA,S/CAUDA, CONGELADA;01/01/2016;;KG
3038312;3;CABEÇAS DE MERLUZA NEGRA CONGELADAS;01/01/2016;31/03/2017;KG
3038319;3;OUTRAS FORMAS DE MERLUZA NEGRA CONGELADA;01/01/2016;;KG
3038321;3;MERLUZA ANTÁRTICA EVISCERADA S/CABEÇA,S/CAUDA,CONGELADA;01/01/2016;;KG
3038322;3;CABEÇAS DE MERLUZA ANTÁRTICA CONGELADAS;01/01/2016;31/03/2017;KG
3038329;3;OUTRAS FORMAS DE MERLUZA ANTÁRTICA, CONGELADAS;01/01/2016;;KG
3038400;3;ROBALOS CONGELADOS;01/01/2016;;KG
3038910;3;CORVINA CONGELADA;01/01/2016;;KG
3038920;3;PESCADAS CONGELADAS;01/01/2016;;KG
3038931;3;AGULHÕES CONGELADOS;01/01/2016;31/03/2017;KG
3038932;3;PARGO (LUTJANUS PURPUREUS) CONGELADO;01/01/2016;;KG
3038933;3;PEIXE-SAPO CONGELADO;01/01/2016;;KG
3038941;3;CHERNE-POVEIRO CONGELADO;01/01/2016;;KG
3038942;3;GAROUPAS CONGELADAS;01/01/2016;;KG
3038943;3;TAINHAS CONGELADAS;01/01/2016;;KG
3038944;3;ESTURJÕES CONGELADOS;01/01/2016;;KG
3038945;3;PEIXES-REI CONGELADOS;01/01/2016;;KG
3038946;3;NOTOTENIAS CONGELDAS;01/01/2016;;KG
3038951;3;CURIMATÃS CONGELADOS;01/01/2016;;KG
3038952;3;TILÁPIAS CONGELADAS;01/01/2016;;KG
3038953;3;SURUBINS CONGELADOS;01/01/2016;;KG
3038954;3;TRAÍRA CONGELADA;01/01/2016;;KG
3038955;3;PIAUS (LEPORINUS SPP.) CONGELADOS;01/01/2016;;KG
3038956;3;PIRARUCU (ARAPAIMA GIGAS) CONGELADO;01/01/2016;;KG
3038957;3;ANCHOITA CONGELADA;01/01/2016;31/03/2017;KG
3038961;3;PIRAMUTABA(BRACHYPLATYSTOMA VAILLANTII)CONGELADO;01/01/2016;;KG
3038962;3;DOURADA(BRACHYPLATYSTOMA FLHVICANS)CONGELADA;01/01/2016;;KG
3038963;3;PACU(PIARACTUS MESOPOTAMICUS)CONGELADO;01/01/2016;;KG
3038964;3;TAMBAQUI(COLOSSOMA MACROPOMUM)CONGELADO;01/01/2016;;KG
3038965;3;TAMBACU(HÍBRIDO DE TAMBAQUI E PACU)CONGELADO;01/01/2016;;KG
3038990;3;OUTROS PEIXES CONGELADOS;01/01/2016;;KG
3039000;3;FÍGADOS,OVAS E SÊMEM CONGELADOS;01/01/2016;31/03/2017;KG
3039100;3;-- FÍGADOS, OVAS E GÔNADAS MASCULINAS;01/01/2017;;KG
3039200;3;#NOME?;01/01/2017;;KG
3039910;3;CABEÇAS DE MERLUZA NEGRA (DISSOSTICHUS ELEGINOIDES);01/01/2017;;KG
3039920;3;CABEÇAS DE MERLUZA ANTÁRTICA (DISSOSTICHUS MAWSONI);01/01/2017;;KG
3039990;3;OUTROS;01/01/2017;;KG
3043100;3;FILÉS DE TILÁPIAS,FRESCOS,REFRIGERADOS;01/01/2016;;KG
3043210;3;FILÉS DE BAGRE,FRESCOS,REFRIGERADOS;01/01/2016;;KG
3043290;3;OUTROS FILÉS DE BAGRE,FRESCOS,REFRIGERADOS;01/01/2016;;KG
3043300;3;FILÉS DE PERCA-DO-NILO,FRESCOS;01/01/2016;;KG
3043900;3;OUTS.FILÉS DE CARPAS,ENGUIAS,PEIXE CABEÇA SERP.FRESC.RE;01/01/2016;;KG
